pelagios_temp_id;maphist_label;recogito_mapping;recogito_gazetteer_label;lat;lng;recogito_status;modified_by;modified_at;
929-1693;doe soror;http://www.wikidata.org/wiki/Q7563413;SORELLE ROCKS;37.4;8.6;VERIFIED;pau;2015-01-27T19:31:15+0100;
930-1694;rasa misar;http://www.wikidata.org/wiki/Q2937108;CAP SERRAT;37.2403;9.2181;VERIFIED;pau;2015-01-27T19:53:27+0100;
931-1695;tamacrati;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T20:13:21+0100;
932-1697;TABARCA;http://www.wikidata.org/wiki/Q986213;TABARKA;36.955;8.755;VERIFIED;pau;2015-01-27T20:13:27+0100;
933-1699;marsacaris;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T20:14:11+0100;
934-1701;c.delarosa;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T20:14:30+0100;
935-1703;BONA;http://www.wikidata.org/wiki/Q45942;ANNABA-سياحة;36.9;7.7667;VERIFIED;pau;2015-01-27T20:14:39+0100;
936-1708;p.entrecoxi;http://pleiades.stoa.org/places/305160;Tacatua;37.066;7.3806;VERIFIED;pau;2015-01-27T20:14:49+0100;
937-1708;petra de larabo;http://pleiades.stoa.org/places/305160;Tacatua;37.066;7.3806;VERIFIED;pau;2015-01-27T20:15:02+0100;
938-1712;STORA;http://www.wikidata.org/wiki/Q2292517;SKIKDA;36.8667;6.9;VERIFIED;pau;2015-01-27T20:15:20+0100;
939-1714;ALCOLL / aucal;http://www.wikidata.org/wiki/Q2983525;CHULLU;37.0065;6.5609;VERIFIED;pau;2015-01-27T20:15:32+0100;
940-1716;giberamel / bineramen / zemoran;http://www.wikidata.org/wiki/Q2921597;BOU HAROUN;36.6234;2.6548;VERIFIED;pau;2015-01-27T20:17:07+0100;
941-1718;marsa saita;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T20:17:41+0100;
942-1719;ZIZARI / giger;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T20:18:02+0100;
943-1721;balafia;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T20:18:15+0100;
944-1723;mansolia / mensuria;http://www.wikidata.org/wiki/Q3286579;MANSOURAH;35.8436;0.2317;VERIFIED;pau;2015-01-27T20:18:28+0100;
945-1724;g.de bugia;http://www.wikidata.org/wiki/Q59975;BEJAIA;36.75;5.0667;VERIFIED;pau;2015-01-28T17:39:42+0100;
946-1725;BUGIA;http://www.wikidata.org/wiki/Q59975;BEJAIA;36.75;5.0667;VERIFIED;pau;2015-01-28T17:39:48+0100;
947-1728;zaffon;http://www.wikidata.org/wiki/Q209443;;36.8961;4.4204;VERIFIED;pau;2015-01-28T17:40:00+0100;
948-1730;garbello;http://www.wikidata.org/wiki/Q2997048;CORBELIN;36.91;4.42;VERIFIED;pau;2015-01-28T17:40:10+0100;
